5.000000000000000000e-01,-5.000000000000000000e-01,2.579752152291530654e-01
-5.000000000000000000e-01,1.859740449217993086e-01,5.000000000000000000e-01
-5.000000000000000000e-01,-4.848213732849309676e-01,-4.969788279552543320e-01
-5.000000000000000000e-01,4.561978079187840041e-01,5.619991271467494887e-02
5.000000000000000000e-01,4.782316356381184352e-01,6.864377736595138335e-02
5.000000000000000000e-01,4.476783933228267731e-02,5.000000000000000000e-01
4.810058382062767368e-01,-6.998598335748826282e-03,-5.000000000000000000e-01
-5.000000000000000000e-01,-4.120989111848224473e-01,1.597199122429273643e-01
-5.000000000000000000e-01,-1.417108978831971289e-02,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
-5.000000000000000000e-01,-5.000000000000000000e-01,-5.000000000000000000e-01
-5.000000000000000000e-01,3.320111824494745845e-01,5.000000000000000000e-01
5.000000000000000000e-01,-5.000000000000000000e-01,-5.000000000000000000e-01
4.691122973756061132e-01,-1.934640232134812177e-01,5.000000000000000000e-01
2.423525317407871915e-01,-5.000000000000000000e-01,-5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,-1.868150562861043973e-01
-5.000000000000000000e-01,1.247360731940541645e-01,-5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,-5.000000000000000000e-01
-5.000000000000000000e-01,-5.000000000000000000e-01,5.000000000000000000e-01
2.944070146501301943e-01,-5.000000000000000000e-01,5.000000000000000000e-01
-5.000000000000000000e-01,2.369221509850918672e-01,5.000000000000000000e-01
-5.000000000000000000e-01,3.348073379441798281e-01,-6.739780167356368423e-02
5.000000000000000000e-01,-5.000000000000000000e-01,-5.000000000000000000e-01
-5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
2.287379683669001906e-01,-5.000000000000000000e-01,-5.000000000000000000e-01
-5.000000000000000000e-01,-5.000000000000000000e-01,2.333427732045358638e-01
-3.541919345004225228e-01,-5.000000000000000000e-01,-5.000000000000000000e-01
4.518962144986907181e-02,5.000000000000000000e-01,5.000000000000000000e-01
8.650000237472815767e-02,-5.000000000000000000e-01,-4.944174901704298519e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
-5.000000000000000000e-01,1.297114577383959300e-01,5.000000000000000000e-01
5.777181615672849491e-02,-3.612509588068535393e-01,5.000000000000000000e-01
5.000000000000000000e-01,-1.607899367194746132e-01,-5.000000000000000000e-01
6.033323884854868702e-02,5.000000000000000000e-01,-2.821483511433819924e-02
2.275935062113879082e-01,5.000000000000000000e-01,5.000000000000000000e-01
-5.000000000000000000e-01,9.510742748168427019e-02,-4.838137377638077608e-01
2.288186838087507002e-01,-5.000000000000000000e-01,-5.000000000000000000e-01
2.733775173892446508e-01,5.000000000000000000e-01,-3.846770671154651211e-01
5.000000000000000000e-01,-7.662593555799039613e-02,5.000000000000000000e-01
-2.008401691662705657e-01,-5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
4.656083944661252305e-01,3.833823616134781620e-01,-5.000000000000000000e-01
-5.000000000000000000e-01,-1.566469981982188120e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,-5.000000000000000000e-01
-5.000000000000000000e-01,5.000000000000000000e-01,-5.000000000000000000e-01
7.510915118318900463e-02,5.000000000000000000e-01,-4.578790003650414775e-01
5.000000000000000000e-01,-2.639275814392840203e-01,2.524571932819569264e-01
-5.000000000000000000e-01,5.000000000000000000e-01,-5.000000000000000000e-01
-2.361671288332177210e-01,-5.000000000000000000e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000000000e-01,-5.000000000000000000e-01
